module	tier	status	value_model	apqc	models	routes	priority
mass_mailing_event_track_sms	baseline	todo	network	3.0	0	0	0
mass_mailing_sale	baseline	todo	network	3.0	0	0	0
mass_mailing_sale_sms	baseline	todo	network	3.0	0	0	0
mass_mailing_slides	baseline	todo	network	3.0	0	0	0
mass_mailing_themes	baseline	todo	network	3.0	0	0	0
mrp_landed_costs	baseline	todo	chain	4.3	0	0	0
mrp_product_expiry	baseline	todo	chain	4.3	0	0	0
mrp_repair	baseline	todo	chain	4.0	0	0	0
mrp_subcontracting_account	baseline	todo	support	9.0	0	0	0
mrp_subcontracting_dropshipping	baseline	todo	chain	4.3	0	0	0
mrp_subcontracting_landed_costs	baseline	todo	chain	4.3	0	0	0
mrp_subcontracting_purchase	baseline	todo	chain	4.3	0	0	0
mrp_subcontracting_repair	baseline	todo	chain	4.3	0	0	0
pos_account_tax_python	baseline	todo	chain	3.0	0	0	0
pos_cashdro	baseline	todo	chain	3.0	0	0	0
pos_cashmatic	baseline	todo	chain	3.0	0	0	0
pos_discount	baseline	todo	chain	3.0	0	0	0
pos_dpopay	baseline	todo	chain	3.0	0	0	0
pos_glory_cash	baseline	todo	chain	3.0	0	0	0
pos_hr_restaurant	baseline	todo	chain	3.0	0	0	0
pos_imin	baseline	todo	chain	3.0	0	0	0
pos_mrp	baseline	todo	chain	3.0	0	0	0
pos_pine_labs	baseline	todo	chain	3.0	0	0	0
pos_razorpay	baseline	todo	chain	3.0	0	0	0
pos_repair	baseline	todo	chain	3.0	0	0	0
pos_restaurant_loyalty	baseline	todo	chain	3.0	0	0	0
pos_restaurant_stripe	baseline	todo	chain	3.0	0	0	0
pos_sale_loyalty	baseline	todo	chain	3.0	0	0	0
pos_sale_margin	baseline	todo	chain	3.0	0	0	0
pos_self_order_adyen	baseline	todo	chain	3.0	0	0	0
pos_self_order_qfpay	baseline	todo	chain	3.0	0	0	0
pos_self_order_sale	baseline	todo	chain	3.0	0	0	0
pos_sms	baseline	todo	chain	3.0	0	0	0
pos_stripe	baseline	todo	chain	3.0	0	0	0
product_email_template	baseline	todo	support	2.0	0	0	0
product_matrix	baseline	todo	support	2.0	0	0	0
project_account	baseline	todo	shop	5.0	0	0	0
project_hr_expense	baseline	todo	shop	5.0	0	0	0
project_hr_skills	baseline	todo	shop	5.0	0	0	0
project_mrp	baseline	todo	shop	5.0	0	0	0
project_mrp_account	baseline	todo	shop	5.0	0	0	0
project_mrp_sale	baseline	todo	shop	5.0	0	0	0
project_mrp_stock_landed_costs	baseline	todo	shop	5.0	0	0	0
project_purchase_stock	baseline	todo	shop	5.0	0	0	0
project_sale_expense	baseline	todo	shop	5.0	0	0	0
project_sms	baseline	todo	shop	5.0	0	0	0
project_stock	baseline	todo	shop	5.0	0	0	0
project_stock_account	baseline	todo	shop	5.0	0	0	0
project_stock_landed_costs	baseline	todo	shop	5.0	0	0	0
project_timesheet_holidays	baseline	todo	shop	5.0	0	0	0
purchase_mrp	baseline	todo	support	4.2	0	0	0
purchase_product_matrix	baseline	todo	support	4.2	0	0	0
purchase_repair	baseline	todo	support	4.2	0	0	0
purchase_requisition_sale	baseline	todo	support	4.2	0	0	0
purchase_requisition_stock	baseline	todo	support	4.2	0	0	0
resource_mail	baseline	todo	support	7.0	0	0	0
sale_expense	baseline	todo	support	9.0	0	0	0
sale_expense_margin	baseline	todo	chain	3.0	0	0	0
sale_gelato_stock	baseline	todo	chain	3.0	0	0	0
sale_loyalty_delivery	baseline	todo	chain	3.0	0	0	0
sale_margin	baseline	todo	chain	3.0	0	0	0
sale_mrp	baseline	todo	chain	3.0	0	0	0
sale_mrp_margin	baseline	todo	chain	3.0	0	0	0
sale_product_matrix	baseline	todo	chain	3.0	0	0	0
sale_project	baseline	todo	chain	3.0	0	0	0
sale_project_stock	baseline	todo	chain	3.0	0	0	0
sale_project_stock_account	baseline	todo	chain	3.0	0	0	0
sale_purchase	baseline	todo	chain	3.0	0	0	0
sale_purchase_project	baseline	todo	chain	3.0	0	0	0
sale_purchase_stock	baseline	todo	chain	3.0	0	0	0
sale_service	baseline	todo	chain	3.0	0	0	0
sale_sms	baseline	todo	chain	3.0	0	0	0
sale_stock_margin	baseline	todo	chain	3.0	0	0	0
sale_stock_product_expiry	baseline	todo	chain	3.0	0	0	0
sale_timesheet_margin	baseline	todo	chain	3.0	0	0	0
snailmail_account	baseline	todo	support	9.4	0	0	0
social_media	baseline	todo	support	3.0	0	0	0
spreadsheet_account	baseline	todo	support	13.0	0	0	0
spreadsheet_dashboard_account	baseline	todo	support	13.0	0	0	0
spreadsheet_dashboard_event_sale	baseline	todo	support	13.0	0	0	0
spreadsheet_dashboard_hr_expense	baseline	todo	support	13.0	0	0	0
spreadsheet_dashboard_hr_timesheet	baseline	todo	support	13.0	0	0	0
spreadsheet_dashboard_im_livechat	baseline	todo	support	13.0	0	0	0
spreadsheet_dashboard_pos_hr	baseline	todo	support	13.0	0	0	0
spreadsheet_dashboard_pos_restaurant	baseline	todo	support	13.0	0	0	0
spreadsheet_dashboard_sale	baseline	todo	support	13.0	0	0	0
spreadsheet_dashboard_sale_timesheet	baseline	todo	support	13.0	0	0	0
spreadsheet_dashboard_stock_account	baseline	todo	support	13.0	0	0	0
spreadsheet_dashboard_website_sale	baseline	todo	support	13.0	0	0	0
spreadsheet_dashboard_website_sale_slides	baseline	todo	support	13.0	0	0	0
stock_fleet	baseline	todo	chain	4.0	0	0	0
stock_maintenance	baseline	todo	chain	4.0	0	0	0
survey_crm	baseline	todo	support	13.0	0	0	0
test_crm_full	test	todo	support	13.0	0	0	0
test_data_module	test	todo	support	13.0	0	0	0
test_data_module_install	test	todo	support	13.0	0	0	0
test_discuss_full	test	todo	support	13.0	0	0	0
test_event_full	test	todo	support	13.0	0	0	0
test_inherits_depends	test	todo	support	13.0	0	0	0
test_lint	test	todo	support	13.0	0	0	0
test_mimetypes	test	todo	support	13.0	0	0	0
test_sale_product_configurators	test	todo	support	13.0	0	0	0
test_sale_purchase_edi_ubl	test	todo	support	13.0	0	0	0
test_website_modules	test	todo	support	13.0	0	0	0
test_website_slides_full	test	todo	support	13.0	0	0	0
theme_default	baseline	todo	network	3.0	0	0	0
web_hierarchy	baseline	todo	support	8.0	0	0	0
website_cf_turnstile	baseline	todo	network	3.0	0	0	0
website_crm	baseline	todo	network	3.0	0	0	0
website_crm_livechat	baseline	todo	network	3.0	0	0	0
website_crm_sms	baseline	todo	network	3.0	0	0	0
website_event_booth_exhibitor	baseline	todo	network	3.0	0	0	0
website_event_booth_sale_exhibitor	baseline	todo	network	3.0	0	0	0
website_event_crm	baseline	todo	network	3.0	0	0	0
website_event_track_live_quiz	baseline	todo	network	3.0	0	0	0
website_hr_recruitment_livechat	baseline	todo	network	3.0	0	0	0
website_mass_mailing_sms	baseline	todo	network	3.0	0	0	0
website_project	baseline	todo	network	3.0	0	0	0
website_sale_autocomplete	baseline	todo	network	3.0	0	0	0
website_sale_collect_wishlist	baseline	todo	network	3.0	0	0	0
website_sale_comparison_wishlist	baseline	todo	network	3.0	0	0	0
website_sale_gelato	baseline	todo	network	3.0	0	0	0
website_sale_mass_mailing	baseline	todo	network	3.0	0	0	0
website_slides_forum	baseline	todo	network	3.0	0	0	0
website_sms	baseline	todo	network	3.0	0	0	0
website_timesheet	baseline	todo	network	3.0	0	0	0
